,ts,datetime,current,temperature,device_id,parsed_datetime,recon_error,anomaly_score,anomaly_current,current_anomaly_reason,current_severity,anomaly_temperature,temperature_anomaly_reason,temperature_severity,combined_severity,anomaly_threshold,anomaly_percentile,anomaly_isolation_forest,anomaly_zscore,anomaly_ensemble,anomaly_ensemble_smoothed
16562,1760186679.0,2025-10-11T18:14:39+05:30,0.0809,71.11,d7,2025-10-11 18:14:39+05:30,46.683274759969386,-0.01488753375497435,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16566,1760186683.0,2025-10-11T18:14:43+05:30,0.0739,71.67,d7,2025-10-11 18:14:43+05:30,65.6073680540343,-0.014871086775938592,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C); Rapid temp change: 18.34°C/sample,critical,critical,0,1,0,0,1,1
16567,1760186684.0,2025-10-11T18:14:44+05:30,0.2049,71.67,d7,2025-10-11 18:14:44+05:30,47.82288087478299,-0.014886543320315837,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16568,1760186685.0,2025-10-11T18:14:45+05:30,0.0649,71.11,d7,2025-10-11 18:14:45+05:30,49.495508358792776,-0.01488508963538961,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16575,1760186692.0,2025-10-11T18:14:52+05:30,0.1769,72.22,d7,2025-10-11 18:14:52+05:30,66.45229248608497,-0.01487035244990221,0,,normal,1,Critical high temp: 72.22°C (threshold: 68.40°C); Rapid temp change: 18.89°C/sample,critical,critical,0,1,1,0,1,1
16576,1760186693.0,2025-10-11T18:14:53+05:30,0.1189,72.78,d7,2025-10-11 18:14:53+05:30,55.861398313803235,-0.014879557023760242,0,,normal,1,Critical high temp: 72.78°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16578,1760186695.0,2025-10-11T18:14:55+05:30,0.1659,72.78,d7,2025-10-11 18:14:55+05:30,70.295993911797,-0.01486701187892816,0,,normal,1,Critical high temp: 72.78°C (threshold: 68.40°C); Rapid temp change: 19.45°C/sample,critical,critical,0,1,1,0,1,1
16580,1760186697.0,2025-10-11T18:14:57+05:30,0.0829,71.67,d7,2025-10-11 18:14:57+05:30,65.47746346212666,-0.014871199676359583,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C); Rapid temp change: 18.34°C/sample,critical,critical,0,1,1,0,1,1
16590,1760186707.0,2025-10-11T18:15:07+05:30,0.0679,72.22,d7,2025-10-11 18:15:07+05:30,70.1867553966204,-0.014867106818407748,0,,normal,1,Critical high temp: 72.22°C (threshold: 68.40°C); Rapid temp change: 18.89°C/sample,critical,critical,0,1,1,0,1,1
16591,1760186708.0,2025-10-11T18:15:08+05:30,0.1049,72.22,d7,2025-10-11 18:15:08+05:30,52.4372624583374,-0.014882532949198533,0,,normal,1,Critical high temp: 72.22°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16592,1760186709.0,2025-10-11T18:15:09+05:30,0.2229,71.11,d7,2025-10-11 18:15:09+05:30,45.703076042988286,-0.014888385648245989,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16596,1760186713.0,2025-10-11T18:15:13+05:30,0.0859,72.22,d7,2025-10-11 18:15:13+05:30,69.12364048833099,-0.014868030774358373,0,,normal,1,Critical high temp: 72.22°C (threshold: 68.40°C); Rapid temp change: 18.89°C/sample,critical,critical,0,1,1,0,1,1
16597,1760186714.0,2025-10-11T18:15:14+05:30,0.0529,72.22,d7,2025-10-11 18:15:14+05:30,54.03844466614819,-0.014881141357548932,0,,normal,1,Critical high temp: 72.22°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16598,1760186715.0,2025-10-11T18:15:15+05:30,0.2849,71.67,d7,2025-10-11 18:15:15+05:30,48.926334885137365,-0.014885584305545978,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16602,1760186719.0,2025-10-11T18:15:19+05:30,0.1279,72.22,d7,2025-10-11 18:15:19+05:30,68.3207992501684,-0.014868728525780752,0,,normal,1,Critical high temp: 72.22°C (threshold: 68.40°C); Rapid temp change: 18.89°C/sample,critical,critical,0,1,0,0,1,1
16603,1760186720.0,2025-10-11T18:15:20+05:30,0.1049,72.22,d7,2025-10-11 18:15:20+05:30,52.70779681257013,-0.014882297827082858,0,,normal,1,Critical high temp: 72.22°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16607,1760186724.0,2025-10-11T18:15:24+05:30,0.0449,72.22,d7,2025-10-11 18:15:24+05:30,70.83745779594311,-0.014866541291248593,0,,normal,1,Critical high temp: 72.22°C (threshold: 68.40°C); Rapid temp change: 18.89°C/sample,critical,critical,0,1,1,0,1,1
16609,1760186726.0,2025-10-11T18:15:26+05:30,0.0899,71.67,d7,2025-10-11 18:15:26+05:30,66.40491140471805,-0.014870393628924098,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C); Rapid temp change: 18.34°C/sample,critical,critical,0,1,1,0,1,1
16610,1760186727.0,2025-10-11T18:15:27+05:30,0.1309,72.22,d7,2025-10-11 18:15:27+05:30,52.29718328433938,-0.014882654692375461,0,,normal,1,Critical high temp: 72.22°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
